Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,IDE
1,1,0.00625015996201483,0.00653591996038753,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,2,0.0125336799238269,0.0128176799221982,18F40117,0,0,8,00 00 00 00 00 00 00 00,36 16,0,1,1,1,1
1,3,0.0256431998441542,0.0259288798425274,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,4,0.0448903197271804,0.0451759997255536,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,5,0.0625332796199558,0.0628173596183266,18F40117,0,0,8,00 00 00 00 00 00 00 02,78 BD,0,1,1,1,1
1,6,0.0650337596047592,0.0653195196031319,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,7,0.0861879194761954,0.0864735994745686,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,8,0.104847999362789,0.105133679361163,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,9,0.112531359316094,0.112815439314489,18F40117,0,0,8,00 00 00 00 00 00 00 03,3D 24,0,1,1,1,1
1,10,0.126457519231458,0.126743199229831,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,11,0.145666799114714,0.145952559113087,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,12,0.162529919012229,0.1628139190106,18F40117,0,0,8,00 00 00 00 00 00 00 03,3D 24,0,1,1,1,1
1,13,0.164846718998149,0.165132398996522,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,14,0.18564951887172,0.185935278870093,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,15,0.206524638744852,0.206810398743225,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,16,0.212528158708366,0.212812238706737,18F40117,0,0,8,00 00 00 00 00 00 00 02,78 BD,0,1,1,1,1
1,17,0.226203038625258,0.226488718623631,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,18,0.245785758506244,0.246071438504617,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,19,0.262524798404513,0.262808878402884,18F40117,0,0,8,00 00 00 00 00 00 00 02,78 BD,0,1,1,1,1
1,20,0.265141038388613,0.265426798386986,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,21,0.285019278267804,0.285304958266177,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,22,0.306419118137747,0.30670479813612,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,23,0.312524558100641,0.312808558099012,18F40117,0,0,8,00 00 00 00 00 00 00 01,73 8F,0,1,1,1,1
1,24,0.324895758025455,0.325181518023828,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,25,0.345645517899349,0.345931277897722,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,26,0.362522637796779,0.362806717795162,18F40117,0,0,8,00 00 00 00 00 00 00 05,2B 40,0,1,1,1,1
1,27,0.366145357774762,0.366431117773135,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,28,0.385876397654847,0.386162077653221,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,29,0.404788637539909,0.405074397538282,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,30,0.412520077492921,0.412804157491292,18F40117,0,0,8,00 00 00 00 00 00 00 02,78 BD,0,1,1,1,1
1,31,0.426252637409462,0.426538317407835,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,32,0.44500095729552,0.445286717293892,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,33,0.46251807718906,0.462800077187443,18F40117,0,0,8,00 00 00 00 00 00 00 04,6E D9,0,1,1,1,1
1,34,0.466322477165939,0.466608157164312,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,35,0.48652479704316,0.486810477041533,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,36,0.505716316926524,0.506002076924896,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
